Number,Theme,Name,Minifigs,Pieces,USPrice
8961,Power Miners,Crystal Sweeper,4,474,69.99
8962,Power Miners,Crystal King,2,168,19.99
2017,Primo,Choo Choo Train,1,13,20
2101,Primo,Circus Catapult,1,6,10
7569,Prince of Persia,Desert Attack,4,57,10.99
4587,Racers,Duel Racers,2,195,40
8144,Racers,Ferrari 248 F1 Team (Michael Schumacher Edition),8,726,69.99
8160,Racers,Cruncher Block & Racer X,4,367,39.99
8168,Racers,Ferrari Victory,3,202,19.99
8185,Racers,Ferrari Truck,5,534,79.99
8362,Racers,Ferrari F1 Racer,1,113,15
8375,Racers,Ferrari F1 Pit Set,7,242,30
8672,Racers,Ferrari Finish Line,10,573,60
8673,Racers,Ferrari F1 Fuel Stop,5,189,19.99
9092,Racers,Crazy Demon,1,86,9.99
3103,Scala,Christian in Blue Blazer,1,9,7.75
3123,Scala,Emma's Chill-Out Kitchen,1,58,20
3143,Scala,Camping Trip,1,60,41.5
3148,Scala,Carla's Winter Camp,1,167,38
3151,Scala,Emma on the Move,1,65,15
3158,Scala,Christian in Tough Wear,1,7,9
3270,Scala,Dream Cottage,1,120,76
40057,Seasonal,Fall Scene,3,72,7.99
40058,Seasonal,Decorating the Tree,2,110,7.99
40237,Seasonal,Easter Egg Hunt,2,145,9.99
40262,Seasonal,Christmas Train Ride,3,169,9.99
40263,Seasonal,Christmas Town Square,3,179,9.99
3300014,Seasonal,Christmas Set,4,109,14.99
5383,Service Packs,Castle Accessories,1,34,3
1787,Space,Crater Cruiser,2,183,18
5619,Space,Crystal Hawk,1,26,3.49
5972,Space,Container Heist,2,282,29.99
6816,Space,Cyber Blaster,1,20,2
6818,Space,Cyborg Scout,1,36,3
6834,Space,Celestial Sled,1,55,4
6837,Space,Cosmic Creeper,1,58,8
6896,Space,Celestial Forager,1,90,10.95
6900,Space,Cyber Saucer,1,114,22
6969,Space,Celestial Stinger,3,256,50
6973,Space,Deep Freeze Defender,3,417,45
6982,Space,Explorien Starship,4,662,80
6999,Space,Cyber Saucer,1,114,20
7066,Space,Earth Defense HQ,5,875,89.99
7300,Space,Double Hover,1,21,3
7316,Space,Excavation Searcher,3,471,50
7646,Space,ETX Alien Infiltraitor,4,333,29.99
7691,Space,ETX Alien Mothership Assault ,7,434,49.99
7693,Space,ETX Alien Strike,3,246,19.99
70706,Space,Crater Creeper,2,171,19.99
70707,Space,CLS-89 Eradicator Mech,2,440,39.99
75870,Speed Champions,Chevrolet Corvette Z06,1,173,14.99
75874,Speed Champions,Chevrolet Camaro Drag Race,3,445,29.99
75882,Speed Champions,Ferrari FXX K & Development Center,4,494,49.99
75889,Speed Champions,Ferrari Ultimate Garage,7,841,99.99
75913,Speed Champions,F14 T & Scuderia Ferrari Truck,6,884,99.99
4854,Spider-Man,Doc Ock's Bank Robbery,5,174,20
4856,Spider-Man,Doc Ock's Hideout,5,486,50
4857,Spider-Man,Doc Ock's Fusion Lab,4,237,20
4981,SpongeBob SquarePants,Chum Bucket,3,337,34.99
3403,Sports,Fans' Grandstand with Scoreboard,3,81,15
3409,Sports,Championship Challenge,12,294,50
3410,Sports,Field Expander,4,53,15
3420,Sports,Championship Challenge II,12,388,50
3342,Star Wars,Chewbacca and 2 Biker Scouts Minifig Pack - Star Wars #3,3,22,5
6208,Star Wars,B-wing Fighter,2,435,34.99
7104,Star Wars,Desert Skiff,2,55,6
7106,Star Wars,Droid Escape,2,45,6
7139,Star Wars,Ewok Attack,4,121,13
7180,Star Wars,B-wing at Rebel Control Center,3,338,30
7200,Star Wars,Final Duel I,2,31,7
7201,Star Wars,Final Duel II,3,26,7
7250,Star Wars,Clone Scout Walker,1,108,10
7251,Star Wars,Darth Vader Transformation,3,53,7
7252,Star Wars,Droid Tri-Fighter,1,148,15
7261,Star Wars,Clone Turbo Tank,7,801,90
7654,Star Wars,Droids Battle Pack,7,102,9.99
7655,Star Wars,Clone Troopers Battle Pack,4,58,9.99
7678,Star Wars,Droid Gunship,3,329,29.99
7748,Star Wars,Corporate Alliance Tank Droid,4,216,24.99
7749,Star Wars,Echo Base,5,155,24.99
7752,Star Wars,Count Dooku's Solar Sailer,4,385,54.99
7913,Star Wars,Clone Trooper Battle Pack,4,85,12.99
7956,Star Wars,Ewok Attack,3,166,24.99
7961,Star Wars,Darth Maul's Sith Infiltrator,4,479,69.99
8014,Star Wars,Clone Walker Battle Pack,4,72,11.99
8017,Star Wars,Darth Vader's TIE Fighter,1,251,29.99
8086,Star Wars,Droid Tri-Fighter,3,268,24.99
8096,Star Wars,Emperor Palpatine's Shuttle,4,592,59.99
8098,Star Wars,Clone Turbo Tank,6,1141,119.99
8128,Star Wars,Cad Bane's Speeder,5,318,49.99
9488,Star Wars,Elite Clone Trooper & Commando Droid Battle Pack,4,98,12.99
9489,Star Wars,Endor Rebel Trooper & Imperial Trooper Battle Pack,4,77,12.99
9490,Star Wars,Droid Escape,4,137,19.99
9496,Star Wars,Desert Skiff,4,213,24.99
10123,Star Wars,Cloud City,7,698,100
10188,Star Wars,Death Star,24,3803,399.99
10236,Star Wars,Ewok Village,17,1990,249.99
75000,Star Wars,Clone Troopers vs. Droidekas,4,124,12.99
75010,Star Wars,B-Wing Starfighter & Planet Endor,1,83,9.99
75015,Star Wars,Corporate Alliance Tank Droid,3,271,19.99
75017,Star Wars,Duel on Geonosis,4,391,39.99
75028,Star Wars,Clone Turbo Tank,1,96,9.99
75034,Star Wars,Death Star Troopers,4,102,12.99
75042,Star Wars,Droid Gunship,4,439,49.99
75044,Star Wars,Droid Tri-Fighter,4,262,29.99
75046,Star Wars,Coruscant Police Gunship,4,481,49.99
75050,Star Wars,B-Wing,3,448,49.99
75090,Star Wars,Ezra's Speeder Bike,3,253,19.99
75093,Star Wars,Death Star Final Duel,5,724,79.99
75136,Star Wars,Droid Escape Pod,4,197,24.99
75137,Star Wars,Carbon-Freezing Chamber,3,231,24.99
75145,Star Wars,Eclipse Fighter,2,363,29.99
75148,Star Wars,Encounter on Jakku,4,530,59.99
75151,Star Wars,Clone Turbo Tank,6,903,109.99
75157,Star Wars,Captain Rex's AT-TE,5,972,119.99
75159,Star Wars,Death Star,27,4016,499.99
75169,Star Wars,Duel on Naboo,3,208,24.99
75174,Star Wars,Desert Skiff Escape,4,277,29.99
75183,Star Wars,Darth Vader Transformation ,6,282,24.99
75202,Star Wars,Defense of Crait,5,746,84.99
1352,Studios,Explosion Studio,4,233,35
1353,Studios,Car Stunt Studio,2,166,20
1354,Studios,Dino Head Attack,2,94,10
1357,Studios,Cameraman,1,21,2
1360,Studios,Director's Copter,1,22,3
1361,Studios,Camera Car,1,20,3
1383,Studios,Curse of the Pharaoh,2,51,4
8230,Technic,Coastal Cop Buggy,1,175,22
8232,Technic,Chopper Force,1,289,25
8244,Technic,Convertables,1,275,33
8253,Technic,Fire Helicopter,1,210,16.5
8257,Technic,Cyber Strikers,2,367,50
8269,Technic,Cyber Stinger,1,345,40
8280,Technic,Fire Engine,2,424,55
8305,Technic,Duel Bikes,2,192,30
79001,The Hobbit,Escape from Mirkwood Spiders,4,298,29.99
79011,The Hobbit,Dol Guldur Ambush,3,217,19.99
79014,The Hobbit,Dol Guldur Battle,8,797,69.99
70902,The LEGO Batman Movie,Catwoman Catcycle Chase,3,139,19.99
70904,The LEGO Batman Movie,Clayface Splat Attack,2,448,34.99
70920,The LEGO Batman Movie,Egghead Mech Food Fight,3,293,29.99
70803,The LEGO Movie,Cloud Cuckoo Palace,4,197,19.99
70806,The LEGO Movie,Castle Cavalry,3,424,29.99
70812,The LEGO Movie,Creative Ambush,4,473,39.99
70814,The LEGO Movie,Emmet's Construct-o-Mech,4,708,59.99
70818,The LEGO Movie,Double-Decker Couch,5,197,14.99
70615,The LEGO Ninjago Movie,Fire Mech,6,944,69.99
70618,The LEGO Ninjago Movie,Destiny's Bounty,7,2295,159.99
79106,The Lone Ranger,Cavalry Builder Set,4,69,12.99
79107,The Lone Ranger,Comanche Camp,3,161,19.99
79109,The Lone Ranger,Colby City Showdown,5,587,49.99
79111,The Lone Ranger,Constitution Train Chase,7,699,99.99
1248,Town,Fire Boat,1,24,1.7
1250,Town,Dragster,1,25,1.7
1665,Town,Dual FX Racers,3,108,8.75
1782,Town,Discovery Station,5,322,50
1992,Town,Dragsters,2,104,7.75
2147,Town,Dragon Fly,2,183,28
2536,Town,Divers Jet Ski,1,23,2
2537,Town,Extreme Team Raft,1,24,2
2963,Town,Extreme Team Racer,1,84,6
6314,Town,City People,6,33,7.25
6324,Town,Chopper Cop,1,17,3
6330,Town,Cargo Center,5,242,49.75
6332,Town,Command Post Central,7,272,60
6337,Town,Fast Track Finish,6,339,40
6353,Town,Coastal Cutter,2,185,19
6389,Town,Fire Control Center,4,533,52
6398,Town,Central Precinct HQ,5,615,73
6404,Town,Carriage Ride,2,62,8.75
6407,Town,Fire Chief,1,26,5.5
6410,Town,Cabana Beach,4,152,25.5
6414,Town,Dolphin Point,4,207,33
6418,Town,Country Club,5,280,42
6433,Town,Coast Watch,3,90,30
6435,Town,Coast Guard HQ,6,219,66
6441,Town,Deep Sea Refuge,5,449,60
6453,Town,Com-Link Cruiser,1,60,6
6454,Town,Countdown Corner,1,133,20
6477,Town,Fire Fighters' Lift Truck,3,114,20
6478,Town,Fire Fighters' HQ,4,237,50
6479,Town,Emergency Response Center,5,423,60
6483,Town,Coastal Patrol,3,243,48
6484,Town,F1 Hauler,3,269,49.5
6486,Town,Fire Engine,1,66,10
6535,Town,Dumper,1,42,4.5
6551,Town,Checkered Flag 500,6,193,26.5
6553,Town,Crisis News Crew,3,136,12
6559,Town,Deep Sea Bounty,5,348,44
6560,Town,Diving Expedition Explorer,7,471,79
6565,Town,Construction Crew,3,78,16.5
6568,Town,Drag Race Rally,4,292,30
6581,Town,Dig 'N' Dump,2,127,13.25
6582,Town,Daredevil Flight Squad,3,287,30
6584,Town,Extreme Team Challenge,4,350,50
6597,Town,Century Skyway,12,894,109
6615,Town,Eagle Stunt Flyer,1,76,8.75
6636,Town,Command Post Central,7,273,65
6664,Town,Chopper Cops,2,67,7.25
6669,Town,Diesel Daredevil,1,90,8.75
6679,Town,Dark Shark,2,83,7.74
10159,Town,City Airport,12,928,90
7591,Toy Story,Construct-a-Zurg,1,118,24.99
7592,Toy Story,Construct-a-Buzz,1,205,24.99
7593,Toy Story,Buzz's Star Command Spaceship,2,257,29.99
3225,Trains,Classic Train,3,281,66
4544,Trains,Car Transport Wagon with Car,1,143,18.75
4552,Trains,Cargo Crane,2,282,38.5
4555,Trains,Cargo Station,3,389,66
4559,Trains,Cargo Railway,7,842,130
10133,Trains,Burlington Northern Santa Fe (BNSF) Locomotive,2,407,40
70168,Ultra Agents,Drillex Diamond Job,2,312,29.99
6716,Western,Covered Wagon,1,64,8
6746,Western,Chief's Tepee,3,134,20
4512,World City,Cargo Train,3,548,140
4514,World City,Cargo Crane,2,177,20
7042,World City,Dune Patrol,1,36,4
7046,World City,Fire Command Craft,3,269,30
7047,World City,Coast Watch HQ,4,367,50
8864,World Racers,Desert of Destruction,8,961,89.99
